R_hand : x,R_hand : y,R_hand : z,R_thumb : x,R_thumb : y,R_thumb : z,R_index : x,R_index : y,R_index : zx,R_middle : x,R_middle : y,R_middle : z,R_ring : x,R_ring : y,R_ring : z,R_pinky : x,R_pinky : y,R_pinky : z,R_hand_vec : x,R_hand_vec : y,R_hand_vec : z,R_fin_to_fin :x,R_fin_to_fin :y,R_fin_to_fin :z,R_dis_thumb,R_dis_index,R_dis_middle,R_dis_ring,R_dis_pinky,L_hand : x,L_hand : y,L_hand : z,L_thumb : x,L_thumb : y,L_thumb : z,L_index : x,L_index : y,L_index : zx,L_middle : x,L_middle : y,L_middle : z,L_ring : x,L_ring : y,L_ring : z,L_pinky : x,L_pinky : y,L_pinky : z,L_hand_vec : x,L_hand_vec : y,L_hand_vec : z,L_fin_to_fin :x,L_fin_to_fin :y,L_fin_to_fin :z,L_dis_thumb,L_dis_index,L_dis_middle,L_dis_ring,L_dis_pinky
66.89455,244.3524,27.36034,31.67062,221.9019,-33.54833,-2.788406,35.54787,-90.72247,34.10746,47.51189,-84.35294,54.21207,34.88658,-69.69228,66.43991,9.711975,-46.44449,0.08646382,-0.8090417,-0.5813566,36.89587,11.96402,6.36953,226.6472,97.47816,102.6456,94.93701,81.64359,-98.0109,229.997,-56.4286,-15.09689,227.5197,-41.28046,54.67034,43.2625,-55.78542,33.56326,45.87221,-81.60038,14.83428,30.91783,-86.17179,-6.659271,3.869751,-79.85357,0.5321466,-0.7306567,-0.4277391,-21.10709,2.609711,-25.81496,231.7265,89.28888,99.44533,92.74452,80.22414
67.12695,243.7982,27.51839,30.8492,221.8736,-34.00383,-2.245888,37.97342,-90.12838,35.20762,50.0578,-82.70064,55.53377,37.76303,-67.71733,68.19189,11.80899,-44.60339,0.09112253,-0.8036686,-0.5880591,37.45351,12.08438,7.427738,226.5741,97.82714,102.8822,95.37129,82.33498,-98.53672,229.1899,-56.3065,-14.20545,227.2831,-39.2976,53.20149,46.38934,-56.08178,30.53815,49.21619,-81.10506,11.38445,34.52765,-85.79873,-10.60101,7.168259,-80.1106,0.5201494,-0.720931,-0.4579335,-22.66335,2.826843,-25.02328,231.0924,90.15285,99.66365,93.18362,81.12628
67.74491,242.8464,27.68133,29.84414,221.2118,-34.35649,-1.388588,41.79919,-89.00932,36.59804,54.08878,-80.01553,57.25578,41.48547,-64.96313,70.17715,14.19205,-42.37392,0.09452291,-0.8011565,-0.5909431,37.98663,12.28958,8.99379,225.8444,98.3451,103.2836,96.01811,83.19733,-99.58657,228.2197,-56.48928,-13.43984,225.3451,-38.51196,50.99475,52.02632,-56.29218,26.68246,53.53389,-80.02216,5.528801,40.78883,-84.38464,-16.38226,12.56155,-79.55566,0.4901896,-0.7108206,-0.5044286,-24.3123,1.507568,-23.72997,229.007,92.06526,99.90684,93.88857,82.19048
68.62997,242.0842,27.74444,29.38814,219.9776,-34.00778,-0.847435,44.72719,-88.0246,37.21655,56.0204,-78.75188,58.34674,43.29497,-63.57119,71.37462,15.5179,-41.14664,0.08720257,-0.808514,-0.5819801,38.06398,11.29321,9.27272,224.5225,98.73991,103.5626,96.54063,83.83429,-100.2498,227.6477,-56.87214,-13.04602,223.1495,-39.26243,49.06948,56.07703,-56.16811,23.59892,57.26913,-78.64607,1.787735,44.646,-83.06711,-20.2367,16.60291,-78.51292,0.4621797,-0.7065535,-0.5358844,-25.47056,1.192108,-22.47796,226.9525,93.31293,100.1093,94.32182,82.76147
68.62997,242.0842,27.74444,29.38814,219.9776,-34.00778,-0.847435,44.72719,-88.0246,37.21655,56.0204,-78.75188,58.34674,43.29497,-63.57119,71.37462,15.5179,-41.14664,0.08720257,-0.808514,-0.5819801,38.06398,11.29321,9.27272,224.5225,98.73991,103.5626,96.54063,83.83429,-100.2498,227.6477,-56.87214,-13.04602,223.1495,-39.26243,49.06948,56.07703,-56.16811,23.59892,57.26913,-78.64607,1.787735,44.646,-83.06711,-20.2367,16.60291,-78.51292,0.4621797,-0.7065535,-0.5358844,-25.47056,1.192108,-22.47796,226.9525,93.31293,100.1093,94.32182,82.76147
69.99457,240.6594,27.82939,29.24405,216.9617,-32.73958,-0.6932602,46.03847,-87.79104,37.84917,54.88533,-79.5146,59.12541,42.06004,-64.23686,72.22688,15.1873,-40.90722,0.06810569,-0.8300464,-0.5535203,38.54243,8.846863,8.276443,221.3582,99.13268,103.7667,96.90839,84.3847,-100.6687,226.825,-57.8918,-13.02223,218.8589,-41.20758,48.62425,57.97998,-55.79729,22.8772,58.97739,-77.77148,0.6392593,46.64453,-82.2469,-22.70721,19.95619,-77.51874,0.4225678,-0.716464,-0.5550817,-25.74704,0.997406,-21.9742,223.0848,94.01772,100.2502,94.55514,83.2047
70.34109,240.0439,27.8613,29.04915,215.6507,-32.11004,-0.7097473,46.0444,-87.90913,38.00935,54.11157,-80.04372,59.34321,41.36758,-64.66936,72.40434,14.82008,-41.04512,0.05908136,-0.839338,-0.5403898,38.71909,8.067169,7.865421,219.9549,99.24014,103.8257,97.03102,84.5383,-100.7007,226.4503,-58.80544,-13.04724,216.7318,-42.01069,49.06998,57.75955,-55.87997,23.10754,59.25885,-77.57144,0.8140564,46.81488,-82.25061,-22.92718,20.58141,-77.39783,0.4048698,-0.7265976,-0.5551003,-25.96244,1.499298,-21.69147,221.1511,94.16262,100.314,94.64385,83.3047
71.36084,238.4674,27.89323,28.83185,211.7833,-30.36991,-1.136429,45.58995,-88.42104,38.07458,52.40364,-81.33693,59.72296,41.16548,-65.05602,72.99989,15.22075,-40.93895,0.04121573,-0.8633465,-0.5029256,39.21101,6.81369,7.084106,215.8837,99.48877,103.9784,97.43569,85.06852,-100.5909,225.1264,-60.50116,-13.40673,211.293,-41.85532,50.76073,55.93867,-56.80714,24.55507,57.73305,-78.53029,2.013145,44.84554,-83.68036,-22.46918,19.63173,-78.11488,0.3651249,-0.7712304,-0.5214283,-26.20566,1.794373,-21.72314,215.8156,94.51369,100.514,94.96092,83.6194
71.71414,238.0052,27.77432,29.01527,210.4373,-29.98732,-1.345222,44.98883,-88.78148,38.06664,52.32687,-81.43805,59.75209,41.49216,-65.00625,73.07544,15.52563,-40.93435,0.03897334,-0.8702416,-0.4910811,39.41186,7.338043,7.34343,214.5344,99.53871,104.016,97.55882,85.18619,-100.3942,224.5652,-60.8651,-13.47505,209.7647,-41.36177,51.29551,55.15425,-57.19216,25.35385,56.51466,-79.21515,2.61702,43.77879,-84.32732,-22.1672,18.98639,-78.47522,0.3556001,-0.7864769,-0.5049779,-25.94165,1.360413,-22.02299,214.2279,94.57359,100.5573,95.05013,83.7271
72.35323,237.0348,27.53618,29.98993,207.3725,-29.23919,-1.848083,44.06015,-89.33376,37.96685,52.35986,-81.54941,59.58647,41.90814,-65.17439,73.15788,16.22267,-40.94496,0.03646869,-0.882843,-0.4682502,39.81493,8.299713,7.784355,211.5602,99.62546,104.0833,97.74733,85.39169,-100.5284,224.1937,-61.78893,-14.4672,207.6416,-39.88475,52.84313,53.04204,-57.87386,27.48898,53.78676,-80.50085,4.499283,41.23622,-85.72473,-20.90845,17.08881,-79.49475,0.3399086,-0.8190427,-0.4622026,-25.35415,0.7447205,-22.62699,211.9319,94.63212,100.6432,95.23339,83.95598
73.01265,236.2339,27.11942,32.00682,204.3937,-28.64423,-2.286819,43.17285,-89.81802,37.68963,52.07733,-81.92119,59.41109,42.60098,-65.11195,73.15585,16.71921,-41.05921,0.03414026,-0.8931764,-0.4484087,39.97645,8.90448,7.896828,208.8581,99.6815,104.1328,97.89835,85.54045,-99.73428,222.8444,-63.59061,-14.62684,204.7801,-39.28461,54.58154,50.06796,-58.94529,29.7681,50.17404,-82.10094,6.474518,37.84622,-87.31646,-19.73186,14.65898,-80.50831,0.3220907,-0.8516892,-0.4133799,-24.81343,0.1060791,-23.15565,209.0266,94.65987,100.7181,95.38564,84.17731
