R_hand : x,R_hand : y,R_hand : z,R_thumb : x,R_thumb : y,R_thumb : z,R_index : x,R_index : y,R_index : zx,R_middle : x,R_middle : y,R_middle : z,R_ring : x,R_ring : y,R_ring : z,R_pinky : x,R_pinky : y,R_pinky : z,R_hand_vec : x,R_hand_vec : y,R_hand_vec : z,R_fin_to_fin :x,R_fin_to_fin :y,R_fin_to_fin :z,R_dis_thumb,R_dis_index,R_dis_middle,R_dis_ring,R_dis_pinky,L_hand : x,L_hand : y,L_hand : z,L_thumb : x,L_thumb : y,L_thumb : z,L_index : x,L_index : y,L_index : zx,L_middle : x,L_middle : y,L_middle : z,L_ring : x,L_ring : y,L_ring : z,L_pinky : x,L_pinky : y,L_pinky : z,L_hand_vec : x,L_hand_vec : y,L_hand_vec : z,L_fin_to_fin :x,L_fin_to_fin :y,L_fin_to_fin :z,L_dis_thumb,L_dis_index,L_dis_middle,L_dis_ring,L_dis_pinky
61.28119,258.0091,39.67381,-12.66811,269.6166,29.11782,-45.41204,40.11255,-75.68073,-11.18335,47.03699,-88.30899,14.95971,46.24338,-80.51778,44.78688,29.54822,-63.89552,-0.1111265,-0.8061455,-0.5811888,34.2287,6.924438,-12.62826,271.4801,96.94763,100.6778,94.04975,83.4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.28119,258.0091,39.67381,-12.66811,269.6166,29.11782,-45.41204,40.11255,-75.68073,-11.18335,47.03699,-88.30899,14.95971,46.24338,-80.51778,44.78688,29.54822,-63.89552,-0.1111265,-0.8061455,-0.5811888,34.2287,6.924438,-12.62826,271.4801,96.94763,100.6778,94.04975,83.4362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.52662,257.7477,38.94389,-13.53514,268.9597,28.38184,-45.55694,39.57474,-75.89699,-11.30113,46.56879,-88.55278,14.88355,46.11041,-80.65585,44.78438,29.50394,-63.96984,-0.1061927,-0.8097013,-0.5771542,34.25581,6.994049,-12.65579,270.7915,96.96364,100.6874,94.09068,83.47613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.06306,257.4667,38.33189,-14.10532,268.4157,27.77877,-45.61301,39.297,-76.02191,-11.32396,46.35629,-88.67009,14.91571,46.20294,-80.65041,44.91427,29.62723,-63.90438,-0.1024845,-0.8114435,-0.575375,34.28905,7.059296,-12.64818,270.2177,96.97491,100.6952,94.13649,83.53941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.80069,257.0917,37.80474,-14.47696,267.7993,27.31282,-45.71867,38.94199,-76.14343,-11.37898,46.13251,-88.79306,14.87875,46.1944,-80.70565,45.11493,29.80844,-63.81581,-0.09958675,-0.813374,-0.5731537,34.33969,7.190521,-12.64963,269.5776,96.97679,100.707,94.17378,83.64423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59.84701,256.6397,37.41282,-14.53797,267.205,26.98989,-45.76883,38.68808,-76.24727,-11.37691,45.94708,-88.90097,14.86743,46.11685,-80.77707,45.18908,29.77823,-63.83387,-0.09807076,-0.8149521,-0.57117,34.39193,7.259003,-12.6537,268.9579,96.98041,100.7172,94.19522,83.68727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.18826,256.0759,36.94815,-14.25578,266.5888,26.54531,-45.7629,38.35907,-76.42349,-11.29863,45.62985,-89.08528,14.90756,45.83197,-80.94808,45.35345,29.67206,-63.8442,-0.09726928,-0.8173683,-0.5678447,34.46427,7.270782,-12.66179,268.2862,96.98563,100.727,94.20933,83.74634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.70522,255.4609,36.45043,-13.74531,266.0457,25.95921,-45.6142,38.09076,-76.6532,-11.0641,45.28824,-89.2973,15.09427,45.47183,-81.12402,45.55848,29.39133,-63.86839,-0.09732081,-0.8197532,-0.5643875,34.5501,7.197479,-12.64411,267.6624,96.9911,100.7345,94.21588,83.77707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60.98913,255.1656,36.20959,-13.49947,265.7446,25.69815,-45.54853,37.94405,-76.76926,-10.95945,45.10362,-89.40604,15.19745,45.3532,-81.18414,45.64121,29.26399,-63.88056,-0.09677272,-0.8208864,-0.5628326,34.58908,7.159576,-12.63678,267.3253,96.99453,100.7367,94.22707,83.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.04782,254.1771,35.54865,-12.56606,264.8417,25.17415,-45.47894,37.66594,-76.96171,-10.75455,44.84007,-89.58314,15.3157,45.02422,-81.35569,45.8098,28.96468,-63.94577,-0.09667173,-0.8232142,-0.55944,34.72438,7.174133,-12.62143,266.3321,97.00598,100.7543,94.2364,83.82453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
